"Movie","Genre","Studio","Score","Year","Rating","Popular","Summary"
"Not Easily Broken","Drama","Independent","66","2009","PG-13","Y","A car accident and shifting affections test the bond between a married couple."
"One Day","Romance","Independent","54","2011","PG-13","N","After spending the night together on the night of their college graduation Dexter and Emma are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day."
"Our Family Wedding","Comedy","Independent","49","2010","PG-13","N","The weeks leading up to a young couple's wedding are comic and stressful, especially as their respective fathers try to lay their long standing feud to rest."
"Over Her Dead Body","Comedy","New Line","47","2008","PG-13","N","A ghost tries to sabotage her former boyfriend's current relationship with a psychic."
"P.S. I Love You","Romance","Independent","82","2007","PG-13","N","A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life."
"Rachel Getting Married","Drama","Independent","61","2008","R","Y","A young woman who has been in and out of rehab for the past ten years, returns home for the weekend for her sister's wedding."
"Remember Me","Drama","Summit","70","2010","PG-13","Y","A romantic drama centered on two new lovers: Tyler, whose parents have split in the wake of his brother's suicide, and Ally, who lives each day to the fullest since witnessing her mother's murder."
"She's Out of My League","Comedy","Paramount","60","2010","R","N","An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship."
"Something Borrowed","Romance","Independent","48","2011","PG-13","N","Friendships are tested and secrets come to the surface when terminally single Rachel falls for Dex, her best friend Darcy's fiancé."
"Tangled","Animation","Disney","88","2010","PG","Y","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
"The Back-up Plan","Comedy","CBS","47","2010","PG-13","N","A woman conceives twins through artificial insemination, then meets the man of her dreams on the very same day."
"The Curious Case of Benjamin Button","Fantasy","Warner Bros.","81","2008","PG-13","Y","Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
"The Duchess","Drama","Paramount","68","2008","PG-13","N","A chronicle of the life of 18th-century aristocrat Georgiana, Duchess of Devonshire, who was reviled for her extravagant political and personal life."
"The Heartbreak Kid","Comedy","Paramount","41","2007","R","N","A newly wed man who believes he's just gotten hitched to the perfect woman encounters another lady on his honeymoon."
"The Invention of Lying","Comedy","Warner Bros.","47","2009","PG-13","N","A comedy set in a world where no one has ever lied, until a writer seizes the opportunity for personal gain."
"The Proposal","Comedy","Disney","74","2009","PG-13","N","A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada."
"The Time Traveler's Wife","Drama","Paramount","65","2009","PG-13","N","A Chicago librarian has a gene that causes him to involuntarily time travel, creating complications in his marriage."
"The Twilight Saga: New Moon","Drama","Summit","78","2009","PG-13","N","Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black."
"The Ugly Truth","Comedy","Independent","68","2009","R","Y","An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man."
"Twilight","Romance","Summit","82","2008","PG-13","Y","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire."
"Twilight: Breaking Dawn","Romance","Independent","68","2011","PG-13","N","The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks."
"Tyler Perry's Why Did I get Married","Romance","Independent","47","2007","PG-13","Y","The big screen adaptation of Perry's stage play about the trials of marriage, and what happens to one family when a sexy young temptress arrives on the scene."
"Valentine's Day","Comedy","Warner Bros.","54","2010","PG-13","N","Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day."
"Waiting For Forever","Romance","Independent","53","2011","PG-13","N","A Hollywood-set romantic tale of a guy who is content to live his life without a job yet with the love of his life, a young actress."
"Waitress","Romance","Independent","67","2007","PG-13","N","Jenna is a pregnant, unhappily married waitress in the deep south. She meets a newcomer to her town and falls into an unlikely relationship as a last attempt at happiness."
"WALL-E","Animation","Disney","89","2008","G","Y","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
"Water For Elephants","Drama","20th Century Fox","72","2011","PG-13","Y","Set in the 1930s, a former veterinary student takes a job in a travelling circus and falls in love with the ringmaster's wife."
"What Happens in Vegas","Comedy","Fox","72","2008","PG-13","N","A man and a woman are compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money."
"When in Rome","Comedy","Disney","44","2010","PG-13","N","Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors."
"You Will Meet a Tall Dark Stranger","Comedy","Independent","35","2010","R","N","Sally's parents' marriage breaks up when her father undergoes a mid-life crisis and impulsively weds a prostitute. Meanwhile, Sally's own marriage also begins to disintegrate."
"Youth in Revolt","Comedy","The Weinstein Company","52","2010","R","N","While his trailer trash parents teeter on the edge of divorce, Nick Twisp sets his sights on dream girl Sheeni Saunders, hoping that she'll be the one to take away his virginity."
